issue_id,clean_text
43,drawgpos doesnt always create figure node exactly place migrate trac httpsnetworkxlanlgovtracticket reporte jomiller assigne unknown ive define erdosrenyigraph define po springlayoutg use command drawgpos nodelistgnode nodecolorb savefigbugtestpng show drawgpos nodelistgnode nodecolorb drawgpos nodelist nodecolorr savefigbugtestpng show node two png file lie place im version default machine attachment trac unknown bugtestpnghttpsnetworkxlanlgovtracattachmentticketbugtestpng attachment trac unknown bugtestpnghttpsnetworkxlanlgovtracattachmentticketbugtestpng trac hagberg fixe
44,error degree cluster computation disconnecte node migrate trac httpsnetworkxlanlgovtracticket reporte ddiamantaras assigne hagberg follow error message produce code background economist learn use python social network formation simulation work coauthor particular network formation process networkx numpy installe fedora core machine lot goe well problem network node degree zero degree cluster give error illustration cluster get error reporte bug open source program beforeapologie optimal case happy provide miss detail highly appreciate work module dimitrios diamantaras file cbnetsimpy line nodedegree nxdegreespsk file builbdistlinuxieggnetworkxbasepy line degree file builbdistlinuxieggnetworkxbasepy line degree typeerror iteration nonsequence input resulte network node degree zero first node encountere terminate output error shown code usrbinenv python import networkx nx import networkxdraw nxd pylab import import random main simulation process take input file calle cbninputtxt simulate network formation casebase decision mak now ask generate randomly input value read inputtxt yes run random processe which write inputtxt read inputtxt procee def createinputm mm floatrawinputenter average delta sd floatrawinputenter standard deviation delta nodedata zerosm float infile openinputtxt xrangem xrangem nodedataij rgaussmm sd infilewritereprnodedataij infilewritereprnodedataij infileclose ask input should create answer rawinputdo want create random input file yn answer createinput pas read delta file delta zerosnn float deltathree inputter openinputtxt deltaone inputterread inputterclose deltatwo deltaonesplit xrangelendeltatwo deltathreeappendfloatdeltatwoh delta arraydeltathree deltashape nn now compute strongly pairwise stable network delta data sps nxgraph xrangen xrangein deltaij pas elif deltaji pas spsaddedgeij nxddrawspectralsps show nxwriteedgelistsps spsoutputtxt openspsoutputtxt outwritelinesnthe array delta value isnn reprdelta nn degreesum spsvalue xrangen nodedegree nxdegreespsk nodeclust nxclusteringspsk outwritelinesnode strk degree strnodedegree cluster strnodeclust degreesum nodedegree xrangekn spshasedgekh spsvalue deltakh deltahk spsvalue outwritelinesn average node degree strdegreesumfloatn outwritelinesn cluster network strnxaverageclusteringsps nn value sps network strspsvalue nnthe edge percentage sps network strspssizenn outclose trac hagberg thanks message error gett because one node isnt graph degree zero one make sure add node eg like follow snippet xrangen spsaddnodei add node xrangein deltaij pas elif deltaji pas spsaddedgeij work improve error message case which agree confus httpsnetworkxlanlgovwikiticket trac jasonlai think confus error message here simple case graph gaddnode averageclusteringg doesnt work traceback recent call last file stdin line file buildbdistlinuxieggnetworkxclusterpy line averagecluster typeerror iteration nonsequence gaddnode averageclusteringg work onegraph node valid graph throw exception imho incorrect behavior trac hagberg work correctly im sure what version networkx release com soon networkx import ggraph gaddnode averageclusteringg
45,erdosrenyi random graph generate complete graph should migrate trac httpsnetworkxlanlgovtracticket reporte ddiamantaras assigne hagberg window xp machine coauthor stumble problem follow code run netzero nxerdosrenyigraphnnn result complete graph define earlier code small integer setup window xp sp python enthought edition build networkx fedora core machine work correctly python trac unknown nam random graph change networkx use gnmrandomgraph generate random graph node edge gnprandomgraph generate random graph node probabiliy connect two node erdosrenyigraph change networkx gnprandomgraph gnmrandomgraph
46,gw generator migrate trac httpsnetworkxlanlgovtracticket reporte rmrichardson assigne hagberg id like request new random graph generator id like generator which given degree sequence return gw random graph reference see paper chung fan lu connecte component random graph given expecte degree sequence annals combinatorics let know assistance necessary trac hagberg yes would interest would like try implement ill put list feature add trac hagberg adde thanks richardson contribution
47,import networkx require window display migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg matplotlibpylab avaiable import networkx require window display trac hagberg fixe move import pylab call function avoid automatic import import networkx allows use without valid window display
48,dot propertie migrate trac httpsnetworkxlanlgovtracticket reporte rmrichardson assigne hagberg would nice standard way access attribute containe dot file work networkx graph right now code converte agraphs nwx ignore attribute pain since nee either dump attribute dictionary manually keep agraph nwx graph data around notice code marke eventual improvementfor interoperability dot think should priority thanks trac hagberg general networkx intende graph draw package draw use attempte provide tool good news output dot file little work add whatever graphviz property want edge node graph agree interface networkx could improve main reason isnt finishe way go im sure which good approach halfbake thought keep graphvizstyle attribute networkx node edge wed come way hang networkx graph classe doesnt seem natural since graph data attribute might match graphviz attribute eg weight might mean different graphviz also one might want assign attribute base network propertie eg make node degree red another approach would build mixe class would part agraph part networkx graphxgraph class addedge example would modify datastructure another approach would build networkx graph class agraph structure instead dictionaryofdictionarie might slower many algorithm gave example what youd like could figure procee trac hagberg networkxdrawingnxpygraphvizpy attempt copy propertie graphviz dot data networkx object data store auxiliary dictionarie xgraph xdigraph use edge data dictionary edge data use edge attribute dot data docexamplespygraphvizgraphpy example show use pygraphviz convert dot data networkx object addresse trac hagberg pygraphviz later code nxagraphpy resolve see example httpsnetworkxlanlgovbrowsernetworkxtrunkdocexamplespygraphvizattributespy
49,christiandfs migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg transitivityg fails possible triangle dividebyzero error eg ggraph gaddedge transitivityg trac hagberg handle special case transitivityg contains triangle triad fixe
50,documentation typo migrate trac httpsnetworkxlanlgovtracticket reporte unknown assigne hagberg basepy line add edge nnnone gdeletenodenn attempt should add edge nnnone gdeleteedgenn attempt xbasepy line gdeletenodenn attempt delete edge nnnone should gdeleteedgenn attempt delete edge nnnone could mistaken seems right trac hagberg typo documentation fixe
51,xgraphdirectedtrue obsolete migrate trac httpsnetworkxlanlgovtracticket reporte unknown assigne hagberg xbasepy line gxgraphdirectedtrue default noloops nomultiedge appears leftover time xdigraph beside xgraph doesnt check keyword directe think should gxgraph default noloops nomultiedge trac hagberg remove spurious directedtrue statement documentation fixe
52,clarification request xdigraph documentation migrate trac httpsnetworkxlanlgovtracticket reporte unknown assigne hagberg beginn line xbasepy class xdigraphdigraph class implement general undirecte digraph allow optional selfloops multiple edge arbitrary hashable object node arbitrary object associate edge understand what xdigraph first statement docstr confus what undirecte digraph seems oxymoron trac trac user swart remove oxymoron remov undirecte
53,rogetpy example connectedcomponents broken migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg nee convert digraph graph connectedcomponents trac hagberg use gtoundirecte call connecte component fixe
54,use nxdraw instead draw import networkx nx migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg use nxdraw instead draw import networkx nx trac hagberg miss nx prefix call draw fixe
55,erdosrenyi example wrong migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg erdosrenyi example always produce complete graph because attempt build binomial graph gnp probability connection trac hagberg use gnmrandomgraph example should change nam change random graph fixe
56,shortestpath shortestpathlength incorrect path length migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg graph gemptygraph shortestpathlengthg should give shortestpathg should give consistent trac hagberg shortest path source target sourcetarget should length source path fixe
57,eigenvaluespy example doesnt work numpy migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg eigenvalue example break numpy instead numeric trac hagberg use numpy preferre numeric fixe
58,broken link wiki migrate trac httpsnetworkxlanlgovtracticket reporte trac user swart assigne hagberg link httpsnetworkxlanlgovwikibrowsernetworkxtrunk broken replace link httpsnetworkxlanlgovbrowsernetworkxtrunk what want fgrep wikibrowser py txt doctxt doccontributingtxthttpsnetworkxlanlgovwikibrowsernetworkxtrunk docexamplestxthttpsnetworkxlanlgovwikibrowsernetworkxtrunkdocexample docreadmetxt browse source httpsnetworkxlanlgovwikibrowsernetworkxtrunk trac hagberg fix link wiki fixe
59,offer standardize method edge data export pygraphviz migrate trac httpsnetworkxlanlgovtracticket reporte unknown assigne hagberg function pygraphvizfromnetworkx nxpygraphvizpy line xgraph xgraph xdigraph isinstancexdict data look like dict asetedgeattruvx use attribute wonderful comment suggest edge data always dictionary could standardize method which edge object provide dictionary function example xgraph xgraph xdigraph isinstancexdict data look like dict asetedgeattruvx use attribute try asetedgeattruvxdotattribute except pas idea what good method name would would significantly easier people networkx edge object now redefine function change couple line trac hagberg addresse pygraphviz rewrite pygraphviz later also nxagraphpy module networkx
60,shortest path function dont implement cutoff consistently migrate trac httpsnetworkxlanlgovtracticket reporte hagberg assigne hagberg singlesourceshortestpath allpairsshortestpath function dont implement cutoff parameter consistently trac hagberg add cutoff parameter singlesourceshortestpath allpairsshortestpath allpairsshortestpathlength cutoffn return path path length make sure boundary condition work fixe
61,susannasdg migrate trac httpsnetworkxlanlgovtracticket reporte unknown assigne hagberg httpsnetworkxlanlgovreferencenetworkxpathsmodulehtmlsinglesourceshortestpathlength example incorrect trac hagberg fix example documentation singlesourceshortestpathlength fixe
